대학명,캠퍼스,계열,추천전형,전형명,전형명_key,전형구분,모집단위,모집인원,2024_모집인원,D-2(2024),D-1(2024),D-0오전(2024),D-0오후(2024),최종(2024),3개년평균,경쟁률_0910_1100,경쟁률_0910_1500,지원인원_0910_1100,지원인원_0910_1500
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,행정학과,7,5,2.2,3.8,7.2,0,8.4,15.87,0.14,0.14,1,1
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,화학과,8,6,1.33,3.17,7.5,0,11,11,1.75,1.88,14,15
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,화학과,7,6,0.83,2.5,4.33,0,5.5,6.16,0,0,0,0
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,회계학과,14,10,3.2,6,9.7,0,12.7,12.7,1,1.07,14,15
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,회계학과,10,10,2.4,4.6,9.3,0,10.8,12.02,0.9,0.9,9,9
건국대학교,,,0,학생부종합(KU자기추천),KU자기추천,종합,KU자유전공학부,179,,,,,,,,1.87,1.87,335,335
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,건축학부,19,20,2.8,8.4,15.85,18,20.85,18.85,1.37,1.37,26,26
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,건축학부,8,12,1.83,7,10,11,12.92,13.5,1.13,1.13,9,9
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,경영학과,47,45,3.13,8.56,14.27,16.11,19.47,22.95,1.02,1.02,48,48
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,경영학과,15,17,1.76,5.24,7,8,9.06,22.55,1.53,1.53,23,23
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,경제학과,22,24,1.75,4.92,8,9.46,13.29,13.61,1.14,1.14,25,25
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,경제학과,7,5,2,7,9.4,11,12.2,18.6,0.71,0.71,5,5
건국대학교,,,1,학생부교과(KU지역균형),KU지역균형,교과,공과대학자유전공학부,100,,,,,,,,0.84,0.84,84,84
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,교육공학과,12,12,5.92,13.42,20.58,23.33,28.08,25.45,2.42,2.42,29,29
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,국어국문학과,15,15,3.4,7.73,12.6,13.8,17.13,16.66,0.87,0.87,13,13
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,국어국문학과,3,4,1.25,2.5,3,3.5,5.25,13.25,0,0,0,0
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,국제무역학과,14,11,2.36,6,9.73,11,14.18,13.89,0.93,0.93,13,13
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,국제무역학과,4,3,2,3.33,4.67,5.67,8,15.22,0.25,0.25,1,1
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,기계로봇자동차공학부,7,10,8.1,23.6,39,42.7,49.7,36.91,2.14,2.14,15,15
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,기계로봇자동차공학부,16,20,1.65,5.1,7.65,8.15,9.7,13.3,0.81,0.81,13,13
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,기술경영학과,10,8,1,3.62,7.88,9.75,13.5,13.17,1,1,10,10
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,기술경영학과,4,7,0.86,1.86,2.43,3.14,6.29,15.1,0.5,0.5,2,2
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,동물자원식품과학유통학부,30,20,2.35,5.95,10.8,12.2,15.6,11.08,2.1,2.1,63,63
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,동물자원식품과학유통학부,9,4,3.25,9.5,15,16.5,18.5,13.75,0.67,0.67,6,6
건국대학교,,,1,학생부교과(KU지역균형),KU지역균형,교과,문과대학자유전공학부,35,,,,,,,,0.34,0.34,12,12
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,문화콘텐츠학과,13,13,5.08,11.54,18,20.54,23.69,31.79,2.23,2.23,29,29
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,문화콘텐츠학과,4,4,1.75,5.5,8,8.25,9.75,16.58,2,2,8,8
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,물리학과,13,12,4.17,9.75,14.92,16.58,20.92,16.02,0.69,0.69,9,9
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,물리학과,4,7,1.43,4.86,7,7.57,8.71,10.43,0.75,0.75,3,3
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,미디어커뮤니케이션학과,13,13,6.23,16.69,25.54,27.23,31.69,35.98,2.08,2.08,27,27
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,미디어커뮤니케이션학과,6,6,5.33,10,13,13.83,14.5,22,0.17,0.17,1,1
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,부동산학과,13,13,3.92,9.15,13.92,15.85,19,13.24,1.38,1.38,18,18
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,부동산학과,4,5,2.8,5,6.8,7.6,10.2,15.27,1.5,1.5,6,6
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,사학과,14,14,2.86,9.29,15.5,16.79,19.43,22.27,1.79,1.79,25,25
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,사학과,3,4,0.75,3.5,5.5,5.75,7.75,14.25,0.67,0.67,2,2
건국대학교,,,1,학생부교과(KU지역균형),KU지역균형,교과,사회과학대학융합전공학부,50,,,,,,,,0.54,0.54,27,27
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,사회환경공학부,35,45,2.96,8.64,14.89,17.02,20.93,15.69,1.8,1.8,63,63
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,사회환경공학부,10,25,1.2,4.4,7.24,8.68,11.6,14.92,1.1,1.1,11,11
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,산업공학과,7,8,3.25,7.38,11.12,12.75,17.62,15.78,1.29,1.29,9,9
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,산업공학과,3,5,2,5.4,7.4,8,9.4,13.28,1,1,3,3
건국대학교,,,1,학생부교과(KU지역균형),KU지역균형,교과,생명과학대학자유전공학부,34,,,,,,,,0.71,0.71,24,24
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,생명과학특성학과,11,11,4.45,13.55,23.45,27,34.18,28.05,3.27,3.27,36,36
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,생명과학특성학과,3,10,1.7,4.7,7.2,8,12.5,15.77,0,0,0,0
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,생물공학과,13,7,1.86,7.14,13.14,15.14,19.86,18.06,1.15,1.15,15,15
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,생물공학과,4,4,1.25,6.5,10.25,12,16.25,20.17,1.5,1.5,6,6
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,수의예과,16,17,8.47,19.18,23.47,24.94,27.82,23.32,8.94,8.94,143,143
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,수의예과,5,5,5.8,11.6,13.6,15.2,16.4,21.8,4.8,4.8,24,24
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,수학과,5,7,4.57,12.14,19.14,21.43,25.71,19.47,1.2,1.2,6,6
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,수학과,3,5,3.4,7.6,14.2,15.8,19.2,16.96,1.67,1.67,5,5
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,수학교육과,6,6,3.33,8.33,13.67,14.67,18.33,17.63,2.17,2.17,13,13
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,수학교육과,5,5,4,6.8,9.6,11.2,12.4,14.72,1.4,1.4,7,7
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,시스템생명공학과,8,13,6.77,21.85,40,43.92,53.08,38.96,2.63,2.63,21,21
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,시스템생명공학과,3,8,0.75,3,4.75,6,9.5,17.58,0.33,0.33,1,1
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,식량자원과학과,10,18,4.22,8.33,12.22,13.5,17.06,14.47,3.5,3.5,35,35
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,식량자원과학과,3,4,5,9,14,15,20.25,17.5,1.67,1.67,5,5
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,영어교육과,8,8,2.25,4.62,8,9.12,11.38,11.98,1.13,1.13,9,9
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,영어교육과,4,4,3,6.25,9,9.5,11.75,14.17,1,1,4,4
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,영어영문학과,29,29,3.38,8.34,13.52,15.1,18.24,17,1.9,1.9,55,55
건국대학교,,인문,1,학생부교과(KU지역균형),KU지역균형,교과,영어영문학과,5,5,1.4,3,4.6,5.4,7,14.6,0.4,0.4,2,2
건국대학교,,,1,학생부교과(KU지역균형),KU지역균형,교과,융합과학기술원자유전공학부,25,,,,,,,,0.48,0.48,12,12
건국대학교,,자연,0,학생부종합(KU자기추천),KU자기추천,종합,융합생명공학과,8,15,3.2,10.87,20.33,23.6,33.4,29.44,0.5,0.5,4,4
건국대학교,,자연,1,학생부교과(KU지역균형),KU지역균형,교과,융합생명공학과,3,7,0.57,3.71,5,5.43,9.57,19.52,0.33,0.33,1,1
건국대학교,,인문,0,학생부종합(KU자기추천),KU자기추천,종합,응용통계학과,12,14,1.14,4.21,7.36,8.29,11.07,11.95,1.08,1.08,13,13
